場所ID,1-期待,1-警戒,1-関心,2-怒り,2-激怒,2-苛立ち,3-うんざり,3-嫌悪,3-強い嫌悪,4-哀愁,4-悲しみ,4-悲嘆,5-放心,5-驚き,5-驚嘆,6-不安,6-恐れ,6-恐怖,7-信頼,7-容認,7-敬愛,8-喜び,8-平穏,8-恍惚
1a,5,7,10,0,0,2,0,0,1,4,1,2,4,11,8,9,6,2,3,2,7,2,7,1
1b,2,15,5,1,0,3,7,9,2,1,1,0,4,7,3,16,17,5,0,0,1,0,1,0
1c,3,14,7,0,0,0,1,1,0,3,2,1,5,6,4,17,18,12,0,1,0,1,1,0
1d,3,9,7,0,0,1,1,0,0,4,0,0,3,10,5,17,13,7,4,0,2,0,2,3
1e,8,1,16,0,0,0,1,0,0,9,0,0,1,5,3,8,3,1,2,2,3,3,12,4
1f,6,3,14,0,0,0,0,0,0,3,0,0,2,9,5,5,3,1,3,5,1,5,15,2
1g,20,2,22,0,0,0,0,0,0,0,0,0,1,14,9,6,1,1,2,3,0,10,2,5
1h,3,7,6,0,0,8,16,3,1,0,0,0,4,7,5,12,2,1,1,2,0,2,1,2
1i,13,0,25,0,0,0,0,0,0,0,0,0,0,9,3,1,0,0,11,10,2,4,10,0
1j,19,0,19,0,0,1,2,0,0,1,0,0,1,14,4,2,1,0,3,7,2,9,9,0
2a,3,9,9,2,0,2,1,1,2,5,2,4,1,12,9,14,15,4,0,0,0,2,2,4
2b,13,1,19,0,0,0,0,0,0,1,0,0,0,6,3,1,0,1,4,3,13,14,14,5
2c,2,2,5,0,0,1,0,1,0,17,2,0,2,2,1,3,2,2,2,4,7,3,14,1
2d,0,18,1,0,0,1,2,9,1,7,13,4,1,1,1,18,10,2,0,0,0,0,0,0
2e,5,1,21,0,0,0,0,1,0,3,0,0,0,10,3,3,1,0,0,2,0,3,12,2
2f,6,2,16,0,0,0,1,0,0,7,0,0,0,7,2,0,0,0,2,6,2,5,22,5
2g,11,8,22,0,0,0,0,0,1,0,0,0,4,18,12,12,6,5,0,0,0,5,0,4
2h,12,1,14,0,0,0,2,1,0,0,0,0,0,10,2,1,0,0,4,9,1,6,7,2
2i,19,0,22,0,0,0,0,0,0,0,0,0,0,16,6,2,0,0,9,4,0,2,6,1
2j,11,1,13,0,0,0,2,1,0,0,0,0,1,6,1,5,2,0,3,7,0,1,12,0
3a,9,1,14,0,0,0,0,0,0,0,0,0,3,9,8,1,1,0,4,4,8,13,22,5
3b,5,11,11,1,0,2,1,2,0,1,0,0,2,12,7,14,9,2,0,0,2,4,2,3
3c,4,0,11,0,0,0,3,2,0,13,4,0,1,3,0,7,0,0,1,2,0,1,13,0
3d,12,3,17,0,0,0,0,0,0,3,1,0,4,14,8,5,1,0,2,4,3,11,6,5
3e,5,0,9,0,0,0,0,0,0,5,0,0,0,4,2,0,0,0,8,7,1,4,22,2
3f,13,0,14,0,0,0,0,0,0,3,0,0,0,3,1,1,0,0,6,4,5,10,20,1
3g,9,6,22,0,0,0,1,0,0,1,0,0,3,18,14,9,5,1,1,2,1,4,0,4
3h,8,2,14,0,0,1,3,0,0,3,0,0,0,6,2,5,1,0,1,5,0,4,14,1
3i,20,0,20,0,0,0,0,0,0,0,0,0,1,7,3,1,0,0,5,6,1,13,10,1
3j,10,0,23,0,0,0,1,0,0,4,0,0,1,5,2,1,0,0,6,3,3,6,15,4
4a,10,19,6,0,0,5,4,4,0,2,0,2,2,9,2,28,15,6,0,0,0,1,0,2
4b,2,3,12,0,0,0,0,0,0,4,0,0,4,4,0,3,0,0,6,7,3,15,29,2
4c,7,2,14,2,0,2,3,2,0,4,1,0,4,4,0,3,1,0,1,4,0,6,14,0
4d,3,15,10,1,0,1,5,0,1,7,3,1,4,2,4,19,9,1,0,1,0,2,5,0
4e,4,5,22,0,0,1,2,3,0,1,0,0,4,14,2,13,4,3,2,3,0,1,6,1
4f,18,0,23,0,0,1,0,0,0,2,0,0,1,6,1,0,0,0,4,10,1,19,22,4
4g,6,1,10,0,0,1,7,2,0,7,1,0,4,2,3,4,0,0,4,5,0,7,14,4
4h,8,2,24,0,0,0,2,0,0,1,0,0,1,11,2,7,1,1,8,3,0,2,5,0
4i,2,4,14,2,0,6,12,6,2,8,4,0,6,4,2,8,4,1,0,4,0,1,10,3
4j,13,3,25,0,0,0,0,0,0,3,3,0,2,11,4,4,1,1,9,7,3,6,4,1
5a,4,2,15,0,0,1,0,1,0,4,0,0,3,4,2,6,1,0,3,7,3,9,18,4
5b,16,0,17,0,0,0,0,1,0,3,0,0,4,8,5,4,1,0,1,5,0,13,14,6
5c,5,2,11,0,0,0,1,2,0,5,0,0,3,2,0,4,1,0,3,5,1,2,24,0
5d,0,14,14,1,0,1,4,2,1,3,0,0,1,5,0,19,10,6,0,4,0,1,3,0
5e,3,1,21,0,0,0,1,1,0,2,0,0,2,9,0,10,3,0,3,3,4,3,16,0
5f,17,3,16,0,0,0,0,0,0,9,0,0,1,9,2,4,0,0,9,2,0,19,20,3
5g,4,9,12,0,1,1,8,2,0,3,0,1,3,8,1,11,3,1,0,2,1,1,1,1
5h,4,1,19,0,0,0,2,0,0,5,0,0,0,7,0,2,0,0,7,4,1,6,23,0
5i,17,1,20,0,0,0,0,0,0,3,0,0,2,7,1,1,0,1,6,6,0,16,16,0
5j,11,0,25,0,0,0,1,0,0,0,0,0,0,13,0,2,0,0,7,9,0,1,12,0
